File	DIT	NDIT	Tech	CATG	TYPE	INS.MODE	DRS.SLIT	DRS.FILTER	DRS.IFU	DRS.MASK	INS.
METIS.DARK_2RG_RAW.2027-01-25_00_33_32.fits	0.004	1	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_2RG_RAW.2027-01-25_00_33_33.fits	0.05	1	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_2RG_RAW.2027-01-25_00_33_34.fits	0.25	1	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_2RG_RAW.2027-01-25_00_33_35.fits	0.25	4	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_2RG_RAW.2027-01-25_00_33_37.fits	10	1	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_50.fits	0.0004	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_51.fits	0.005	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_52.fits	0.01	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_53.fits	0.05	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_54.fits	0.25	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_56.fits	0.25	4	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_58.fits	10	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_IFU_RAW.2027-01-25_00_34_11.fits	0.0004	1	IFU	CALIB	DARK	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.DARK_IFU_RAW.2027-01-25_00_34_12.fits	0.25	1	IFU	CALIB	DARK	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.DARK_IFU_RAW.2027-01-25_00_34_13.fits	100	3	IFU	CALIB	DARK	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.DARK_IFU_RAW.2027-01-25_00_40_14.fits	15	1	IFU	CALIB	DARK	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.DETLIN_2RG_RAW.2027-01-25_00_01_15.fits	1.0	1	IMAGE,LM	CALIB	DETLIN	IMG_LM		open			ESO INS OPTI10 NAME=open	
